iteration,lat,lng,temp,best_temp,seed
31,90.0,-180.0,-26.5,31.5,2
32,-45.0,-140.0,13.6,31.5,2
33,45.0,-180.0,9.2,31.5,2
34,-90.0,-20.0,-48.8,31.5,2
35,-45.0,20.0,12.2,31.5,2
36,45.0,100.0,-11.9,31.5,2
37,-45.0,-20.0,12.1,31.5,2
38,0.0,140.0,27.9,31.5,2
39,-45.0,60.0,10.9,31.5,2
40,90.0,60.0,-26.4,31.5,2
41,0.0,-140.0,25.2,31.5,2
42,90.0,180.0,-26.4,31.5,2
43,-45.0,-100.0,14.3,31.5,2
44,45.0,-60.0,0.8,31.5,2
45,45.0,140.0,-1.2,31.5,2
46,0.0,-20.0,26.8,31.5,2
47,45.0,-140.0,8.3,31.5,2
48,-90.0,180.0,-48.8,31.5,2
49,-90.0,-60.0,-48.8,31.5,2
50,-90.0,140.0,-48.8,31.5,2
1,0.0,-100.0,26.1,26.1,3
2,90.0,100.0,-26.4,26.1,3
3,90.0,-140.0,-26.4,26.1,3
4,0.0,180.0,27.8,27.8,3
5,-45.0,60.0,10.9,27.8,3
6,45.0,20.0,10.6,27.8,3
7,45.0,-100.0,0.7,27.8,3
8,45.0,180.0,9.1,27.8,3
9,-90.0,180.0,-48.8,27.8,3
10,-45.0,-140.0,13.6,27.8,3
11,-45.0,100.0,10.0,27.8,3
12,45.0,-20.0,12.6,27.8,3
13,0.0,100.0,27.7,27.8,3
14,45.0,-60.0,0.8,27.8,3
15,90.0,-180.0,-26.5,27.8,3
16,-90.0,20.0,-48.8,27.8,3
17,-45.0,-60.0,13.9,27.8,3
18,-90.0,-60.0,-48.8,27.8,3
19,-90.0,60.0,-48.8,27.8,3
20,-45.0,-100.0,14.3,27.8,3
21,0.0,-140.0,25.2,27.8,3
22,-90.0,140.0,-48.8,27.8,3
23,0.0,20.0,31.5,31.5,3
24,90.0,60.0,-26.4,31.5,3
25,-45.0,180.0,13.6,31.5,3
26,-90.0,-140.0,-48.8,31.5,3
27,45.0,140.0,-1.2,31.5,3
28,-45.0,-180.0,13.6,31.5,3
29,-90.0,100.0,-48.8,31.5,3
30,0.0,-180.0,27.8,31.5,3
31,0.0,-20.0,26.8,31.5,3
32,45.0,60.0,-0.5,31.5,3
33,0.0,-60.0,30.6,31.5,3
34,-45.0,20.0,12.2,31.5,3
35,90.0,-100.0,-26.4,31.5,3
36,90.0,20.0,-26.4,31.5,3
37,-90.0,-20.0,-48.8,31.5,3
38,0.0,60.0,28.4,31.5,3
39,45.0,100.0,-11.9,31.5,3
40,90.0,140.0,-26.4,31.5,3
41,90.0,180.0,-26.4,31.5,3
42,-45.0,140.0,11.3,31.5,3
43,-90.0,-100.0,-48.8,31.5,3
44,90.0,-60.0,-26.4,31.5,3
45,-45.0,-20.0,12.1,31.5,3
46,-90.0,-180.0,-40.2,31.5,3
47,45.0,-140.0,8.3,31.5,3
48,45.0,-180.0,9.2,31.5,3
49,90.0,-20.0,-26.4,31.5,3
50,0.0,140.0,27.9,31.5,3
1,-45.0,-140.0,13.6,13.6,4
