timestamp,lat,lng,temp,search_method

2026-02-17T16:54:23.200199,49.3120887400734,-22.003761689261164,10.1,random_search
2026-02-17T16:54:23.319434,64.54762558404884,71.05249046137101,-22.0,random_search
2026-02-17T16:54:23.451468,-73.04807738022308,171.22404658923213,-3.8,random_search
2026-02-17T16:54:23.573595,47.00514635826353,102.98314989970338,-17.1,random_search
2026-02-17T16:54:23.695913,-66.93954611840174,-17.86106235759583,0.6,random_search
2026-02-17T16:54:23.808058,-23.25635563813538,153.63539598549664,26.4,random_search
2026-02-17T16:54:23.919976,25.89572161451962,116.19418077749879,7.3,random_search
2026-02-17T16:54:24.053431,-10.185444211080396,-98.19406015748032,25.9,random_search
2026-02-17T16:54:24.168092,9.825261662850265,-157.0257878024969,25.8,random_search
2026-02-17T16:54:24.284252,58.97361095866477,47.39918368394334,-13.9,random_search
2026-02-17T16:54:24.400043,46.45579321536729,-52.37065147324739,0.6,random_search
2026-02-17T16:54:24.516718,84.72564439108258,141.52360367599115,-29.7,random_search
2026-02-17T16:54:24.629892,50.10902947327713,-109.93006517329167,-1.0,random_search
2026-02-17T16:54:24.735453,-5.990219329133848,-164.23064431659765,27.8,random_search
2026-02-17T16:54:24.846599,-62.22789142784139,65.89762316728367,1.5,random_search
2026-02-17T16:54:24.957114,44.05718806340708,168.30350367631561,3.5,random_search
2026-02-17T16:54:25.069154,-31.35143553513265,-46.6345058274472,25.0,random_search
2026-02-17T16:54:25.174189,-5.479953970354574,-111.79031072965715,25.5,random_search
2026-02-17T16:54:25.281754,-66.61412903961511,-8.746226558663853,0.6,random_search
2026-02-17T16:54:25.406822,-49.15631717084086,61.133038085703724,6.4,random_search
